step,observation,evidence,decision
3-Missing,"Filling blank laundry with the most common value ('w/d in unit', median $1,299) would put 78,667 listings with median $1,010 into a group +29% away from their actual rent level",3.5 (cont.) median rent per category,Confirms mode imputation would mislabel these listings; use a separate 'missing' category
3-Missing,"1,918 listings lack coordinates; region_url and state are always known for them",3.6 coordinate checks,"Fill lat/long with the median coordinates of the listing's region_url, learned on training data only; regions with too few located listings fall back to the state median; invalid coordinates from Step 5 get the same treatment"
3-Missing,2 listings have no description,3.7,No action: description is not a model feature (used only for duplicate and leakage checks)
4-Duplicates,No exact duplicate rows (0); every id is unique,4.1 level 1,Exact-duplicate removal alone would miss the problem; check looser levels
4-Duplicates,"46,544 extra copies (12.09%) are reposts: identical except id and url; largest group has 141 copies","4.1 level 2, 4.2 example group",Remove reposts before the train/test split
4-Duplicates,"191,384 extra copies (49.71%) are identical to the model (same features and price); 5,006 groups have 10+ copies","4.1 level 4, 4.3 largest groups","Deduplicate on model features + price, keeping one row per group (also removes all reposts)"
4-Duplicates,"Without deduplication, 58.9% of test rows have an identical twin in training (simulated 80/20 split); 51.6% after removing reposts; 0.0% after level-4 deduplication",4.4 leakage simulation,Deduplicate BEFORE splitting to prevent leakage and an over-optimistic test score
4-Duplicates,"203,909 listings reuse a photo from another listing",4.1 level 5,"Evidence only: different real units can share a building photo, so photo alone is not a deletion rule"
4-Duplicates,Cleaning order matters: fixing values can create new identical rows,Reasoning from Steps 2-5,Step 7 order: price rule -> validity fixes (Step 5) -> deduplication -> stratified split
4-Duplicates,"Level-4 deduplication removes 50% of valid rows: 382,494 become 192,470",4.4 rows_before_split,"Still ample for all five models; from Step 6 on, EDA of relationships uses valid, deduplicated rows so large complexes with hundreds of copies don't dominate the charts"
5-Validity,"sqfeet: 48 zeros and 1 at the 2^23-1 placeholder; outside 100-10,000 sq ft: 1,058 listings (1,034 in the valid price range)","5.1 quantiles, threshold counts, repeated values, examples","Remove rows with sqfeet outside 100-10,000 (0 means 'not entered'; size is a core user input)"
5-Validity,"beds up to 1,100; above 8: 4 listings (4 in the valid price range); 0 beds = studio (valid)",5.2 value counts and examples,Remove rows with beds > 8
5-Validity,"baths up to 75; above 8: 5 listings (4 in the valid price range); 3,107 listings with 0 baths; half-baths normal",5.3 value counts and examples,Remove rows with baths > 8; keep 0 baths (shared-bathroom units) and half-baths
5-Validity,Under 70 sq ft per room (sqfeet / (beds + 1)): 122 listings (121 in the valid price range); baths > beds + 3: 32 listings (32 in the valid price range),5.4 consistency checks and examples,Remove physically impossible size/room combinations; baths > beds + 3 kept as a warning only
5-Validity,Coordinates outside the U.S.: 262 listings (262 in the valid price range); more than 500 km from their region centre: 827 listings (814 in the valid price range),"5.5 bounding-box checks, 5.6 haversine distances",Set these coordinates to missing and use the Step 3 regional fill; region centres from training data only
5-Validity,Each Craigslist site has 2 state label(s) at most; e.g. the Reno site is labelled 'ca' although Reno is in Nevada,"5.7 states per site, Reno example",Interpret state as 'state of the Craigslist site'; exact location comes from region_url and coordinates
5-Validity,"Strong sale wording ('for sale', down payment, sale/asking price, owner financing): 1,794 listings (1,691 in the valid price range)",5.8 pattern table and matches in context,Remove listings with strong sale wording (not monthly rents); 'rent to own' is kept as a rental
5-Validity,694 listings priced $100-$249; 501 of them mention weekly pricing,"5.9 wording comparison, price per sq ft, examples",Remove weekly-priced listings under $250 (price is not monthly); other cheap listings kept
5-Validity,"Estimated modelling dataset: 384,977 raw -> 382,494 after price rule -> 379,158 after validity rules -> 190,221 after deduplication",5.10 data funnel,Order in Step 7: price rule -> validity rules (coordinates blanked) -> deduplication -> stratified split
